bare	accented	translations_en	translations_de	gender	partner	animate	indeclinable	sg_only	pl_only	sg_nom	sg_gen	sg_dat	sg_acc	sg_inst	sg_prep	pl_nom	pl_gen	pl_dat	pl_acc	pl_inst	pl_prep
лесосушилка	лесосуши'лка	timber-drying plant, timber-dryer	Rohholzbasis	f		0	0	1	0	лесосуши'лка	лесосуши'лки	лесосуши'лке	лесосуши'лку	лесосуши'лкой,  лесосуши'лкою	лесосуши'лке						
лесотаска	лесота'ска	log conveyer	Blockaufzug, Floßholzförderer	f		0	0	0	0	лесота'ска	лесота'ски	лесота'ске	лесота'ску	лесота'ской, лесота'скою	лесота'ске	лесота'ски	лесота'сок	лесота'скам	лесота'ски	лесота'сками	лесота'сках
лесотундра	лесоту'ндра	forest-tundra	Waldtundra	f		0	0	0	0	лесоту'ндра	лесоту'ндры	лесоту'ндре	лесоту'ндру	лесоту'ндрой, лесоту'ндрою	лесоту'ндре	лесоту'ндры	лесоту'ндр	лесоту'ндрам	лесоту'ндры	лесоту'ндрами	лесоту'ндрах
лесоэкспорт	лесоэ'кспорт	timber-export	Holzexport	m		0	0	1	0	лесоэ'кспорт	лесоэ'кспорта	лесоэ'кспорту	лесоэ'кспорт	лесоэ'кспортом	лесоэ'кспорте						
лёсс	лёсс	loess, loss	Löss, Löß	m		0	0	1	0	лёсс	лёсса	лёссу	лёсс	лёссом	лёссе						
летаргия	летарги'я	lethargy	Lethargie	f		0	0	1	0	летарги'я	летарги'и	летарги'и	летарги'ю	летарги'ей,  летарги'ею	летарги'и						
лётка	лётка	notch	Flugloch (eines Bienenkorbs); Abstichloch (im Hochofen), Austragsloch, Auslauf	f		0	0	0	0	лётка	лётки	лётке	лётку	лёткой	лётке	лётки	лёток	лёткам	лётки	лётками	лётках
летник	ле'тник	annual	└ einjährige / einsömmrige┘ Pflanze	m		0	0	0	0	ле'тник	ле'тника	ле'тнику	ле'тник	ле'тником	ле'тнике	ле'тники	ле'тников	ле'тникам	ле'тники	ле'тниками	ле'тниках
леток	лето'к	bee-entrance	Flugloch (eines Bienenkorbs)	m		0	0	0	0	лето'к	летка'	летку'	лето'к	летко'м	летке'	летки'	летко'в	летка'м	летки'	летка'ми	летка'х
летосчисление	летосчисле'ние	system of chronology, chronology, era	Zeitrechnung; Zeitenrechnung; Chronologie																		
летучесть	лету'честь	volatility	Flüchtigkeit, Verflüchtigung, Fugazität	f		0	0	1	0	лету'честь	лету'чести	лету'чести	лету'честь	лету'честью	лету'чести						
лётчик-испытатель	лётчик-испытатель	test-pilot	Testpilot (Flugzeugentwicklung)	m		1															
лётчик-истребитель	лётчик-истребитель	fighter pilot, pursuit pilot	Jagdflieger, Jäger (Pilot eines Jagdflugzeugs)	m		1															
лётчик-наблюдатель	лётчик-наблюдатель	observer	Luftbeobachter	m		1															
лётчица	лётчица	woman-pilot	Pilotin, Fliegerin	f																	
лещина	лещи'на	hazel	Haselnussstrauch, Haselnussbusch, Haselbusch, Hasel, Haselnuss	f		0	0	1	0	лещи'на	лещи'ны	лещи'не	лещи'ну	лещи'ной,  лещи'ною	лещи'не						
лженаука	лженау'ка	pseudo-science	Pseudowissenschaft, Scheinwissenschaft, Scharlatanerie	f		0	0	0	0	лженау'ка	лженау'ки	лженау'ке	лженау'ку	лженау'кой, лженау'кою	лженау'ке	лженау'ки	лженау'к	лженау'кам	лженау'ки	лженау'ками	лженау'ках
лжеприсяга	лжеприся'га	perjury	Falscheid, Meineid	f		0	0	0	0	лжеприся'га	лжеприся'ги	лжеприся'ге	лжеприся'гу	лжеприся'гой, лжеприся'гою	лжеприся'ге	лжеприся'ги	лжеприся'г	лжеприся'гам	лжеприся'ги	лжеприся'гами	лжеприся'гах
лжесвидетель	лжесвиде'тель	false witness, perjury	falscher Zeuge	m		1	0	0	0	лжесвиде'тель	лжесвиде'теля	лжесвиде'телю	лжесвиде'теля	лжесвиде'телем	лжесвиде'теле	лжесвиде'тели	лжесвиде'телей	лжесвиде'телям	лжесвиде'телей	лжесвиде'телями	лжесвиде'телях
лжесвидетельница	лжесвиде'тельница	false witness, perjury	falsche Zeugin	f		1	0	0	0	лжесвиде'тельница	лжесвиде'тельницы	лжесвиде'тельнице	лжесвиде'тельницу	лжесвиде'тельницей, лжесвиде'тельницею	лжесвиде'тельнице	лжесвиде'тельницы	лжесвиде'тельниц	лжесвиде'тельницам	лжесвиде'тельниц	лжесвиде'тельницами	лжесвиде'тельницах
либеральность	либера'льность	liberal views	liberale └ Gesinnung / Denkungsart┘, Liberalität, Großzügigkeit	f		0	0	1	0	либера'льность	либера'льности	либера'льности	либера'льность	либера'льностью	либера'льности						
либреттист	либретти'ст	librettist	Librettodichter, Librettist	m		1	0	0	0	либретти'ст	либретти'ста	либретти'сту	либретти'ста	либретти'стом	либретти'сте	либретти'сты	либретти'стов	либретти'стам	либретти'стов	либретти'стами	либретти'стах
