bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
застесняться	застесня'ться		Hemmungen bekommen, sich zu schämen beginnen	perfective	-	застесня'йся	застесня'йтесь	застесня'лся	застесня'лась	застесня'лось	застесня'лись	застесня'юсь	застесня'ешься	застесня'ется	застесня'емся	застесня'етесь	застесня'ются
помножить	помно'жить	multiply	multiplizieren, mehren	perfective	помножать	помно'жь	помно'жьте	помно'жил	помно'жила	помно'жило	помно'жили	помно'жу	помно'жишь	помно'жит	помно'жим	помно'жите	помно'жат
сглазить	сгла'зить	jinx, curse	anhexen, durch einen bösen Blick behexen	perfective		сгла'зь	сгла'зьте	сгла'зил	сгла'зила	сгла'зило	сгла'зили	сгла'жу	сгла'зишь	сгла'зит	сгла'зим	сгла'зите	сгла'зят
зазывать	зазыва'ть	press, be pressing	hereinrufen, wiederholt auffordern zu kommen	imperfective	зазвать	зазыва'й	зазыва'йте	зазыва'л	зазыва'ла	зазыва'ло	зазыва'ли	зазыва'ю	зазыва'ешь	зазыва'ет	зазыва'ем	зазыва'ете	зазыва'ют
забеременеть	забере'менеть	become pregnant, conceive	schwanger werden	perfective	беременеть	забере'меней	забере'менейте	забере'менел	забере'менела	забере'менело	забере'менели	забере'менею	забере'менеешь	забере'менеет	забере'менеем	забере'менеете	забере'менеют
принюхаться	приню'хаться		schnuppern, beschnuppern, beschnüffeln, beriechen, Witterung aufnehmen; hinterherspionieren, nicht aus den Augen lassen, belauern	perfective	принюхиваться	приню'хайся	приню'хайтесь	приню'хался	приню'халась	приню'халось	приню'хались	приню'хаюсь	приню'хаешься	приню'хается	приню'хаемся	приню'хаетесь	приню'хаются
разлагаться	разлага'ться	decompose, be factorized, rot, decay	sich zersetzen, zerfallen, verwesen, modern, zerlegt werden; herunterkommen, faulen, in die Brüche gehen	imperfective	разложиться	разлага'йся	разлага'йтесь	разлага'лся	разлага'лась	разлага'лось	разлага'лись	разлага'юсь	разлага'ешься	разлага'ется	разлага'емся	разлага'етесь	разлага'ются
проигнорировать	проигнори'ровать		ignorieren	perfective	игнорировать												
спилить	спили'ть	file down	absägen	perfective	спиливать	спили'	спили'те	спили'л	спили'ла	спили'ло	спили'ли	спилю'	спи'лишь	спи'лит	спи'лим	спи'лите	спи'лят
гнездиться	гнезди'ться	nest, build its nest, build its eyrie, have its seat, nestle	nisten, horsten	imperfective		гнезди'сь	гнезди'тесь	гнезди'лся	гнезди'лась	гнезди'лось	гнезди'лись	гнезжу'сь	гнезди'шься	гнезди'тся	гнезди'мся	гнезди'тесь	гнездя'тся
